pattern,fix_type,support,co_count,p_ft_given_pat,base_rate,lift
CALL → IDENTIFIER → RETURN,async_fix,21,1,0.048,0.003,14.286
IDENTIFIER → NUMBER → CALL,import_fix,7,1,0.143,0.01,14.286
ATTRIBUTE → STRING_LITERAL → STRING_LITERAL,async_fix,21,1,0.048,0.003,14.286
IF → IMPORT → FROM,loop_fix,22,1,0.045,0.003,13.636
NUMBER → ATTRIBUTE,async_fix,23,1,0.043,0.003,13.043
CALL → ATTRIBUTE → ATTRIBUTE,async_fix,23,1,0.043,0.003,13.043
RETURN → ASSIGN → FOR,loop_fix,23,1,0.043,0.003,13.043
IMPORT → ASSIGN,loop_fix,23,1,0.043,0.003,13.043
NUMBER → CALL → CALL,import_fix,8,1,0.125,0.01,12.5
IF → IDENTIFIER → IF,import_fix,8,1,0.125,0.01,12.5
NUMBER → NUMBER → IDENTIFIER,import_fix,8,1,0.125,0.01,12.5
ASSIGN → IF → CALL,import_fix,16,2,0.125,0.01,12.5
STRING_LITERAL → IDENTIFIER → IF,import_fix,8,1,0.125,0.01,12.5
CALL → STRING_LITERAL → CALL,async_fix,24,1,0.042,0.003,12.5
FROM → ASSIGN → RETURN,import_fix,8,1,0.125,0.01,12.5
IF → RETURN → STRING_LITERAL,async_fix,24,1,0.042,0.003,12.5
IF → FOR → IDENTIFIER,import_fix,8,1,0.125,0.01,12.5
IDENTIFIER → STRING_LITERAL → NUMBER,import_fix,8,1,0.125,0.01,12.5
IDENTIFIER → RETURN → FUNCTION,other,5,1,0.2,0.017,12.0
IF → ASSIGN → FUNCTION,other,5,1,0.2,0.017,12.0
ASSIGN → IDENTIFIER → FUNCTION,other,5,1,0.2,0.017,12.0
IDENTIFIER → STRING_LITERAL → ATTRIBUTE,async_fix,25,1,0.04,0.003,12.0
IF → CLASS → IDENTIFIER,test_fix,5,1,0.2,0.017,12.0
IF → CLASS,test_fix,5,1,0.2,0.017,12.0
ASSIGN → STRING_LITERAL → STRING_LITERAL,test_fix,5,1,0.2,0.017,12.0
STRING_LITERAL → FUNCTION → IDENTIFIER,test_fix,10,2,0.2,0.017,12.0
IF → IMPORT,loop_fix,25,1,0.04,0.003,12.0
STRING_LITERAL → ATTRIBUTE → IDENTIFIER,async_fix,26,1,0.038,0.003,11.538
FOR → ASSIGN → IF,loop_fix,26,1,0.038,0.003,11.538
ATTRIBUTE → STRING_LITERAL → ATTRIBUTE,async_fix,26,1,0.038,0.003,11.538
ATTRIBUTE → NUMBER,async_fix,26,1,0.038,0.003,11.538
ATTRIBUTE → CALL → ATTRIBUTE,async_fix,27,1,0.037,0.003,11.111
IF → IF → ATTRIBUTE,import_fix,9,1,0.111,0.01,11.111
STRING_LITERAL → NUMBER → NUMBER,import_fix,9,1,0.111,0.01,11.111
NUMBER → CALL → IDENTIFIER,import_fix,9,1,0.111,0.01,11.111
STRING_LITERAL → FUNCTION,test_fix,11,2,0.182,0.017,10.909
IDENTIFIER → STRING_LITERAL → FUNCTION,test_fix,11,2,0.182,0.017,10.909
STRING_LITERAL → ATTRIBUTE → ASSIGN,test_fix,6,1,0.167,0.017,10.0
ASSIGN → CALL → IDENTIFIER,import_fix,10,1,0.1,0.01,10.0
STRING_LITERAL → CALL → NUMBER,test_fix,6,1,0.167,0.017,10.0
RETURN → ATTRIBUTE → FUNCTION,test_fix,6,1,0.167,0.017,10.0
RETURN → IDENTIFIER → IMPORT,import_fix,10,1,0.1,0.01,10.0
ATTRIBUTE → IMPORT,other,6,1,0.167,0.017,10.0
CALL → NUMBER → NUMBER,test_fix,6,1,0.167,0.017,10.0
STRING_LITERAL → RETURN → IF,import_fix,10,1,0.1,0.01,10.0
IF → CALL → ASSIGN,import_fix,10,1,0.1,0.01,10.0
CALL → ATTRIBUTE → CALL,async_fix,32,1,0.031,0.003,9.375
FOR → RETURN → FUNCTION,refactor,5,2,0.4,0.043,9.231
CALL → NUMBER → STRING_LITERAL,test_fix,13,2,0.154,0.017,9.231
IDENTIFIER → STRING_LITERAL → IMPORT,import_fix,11,1,0.091,0.01,9.091
NUMBER → IDENTIFIER → IDENTIFIER,async_fix,33,1,0.03,0.003,9.091
ATTRIBUTE → CALL → IDENTIFIER,async_fix,33,1,0.03,0.003,9.091
RETURN → IF → IDENTIFIER,import_fix,11,1,0.091,0.01,9.091
RETURN → RETURN → STRING_LITERAL,async_fix,33,1,0.03,0.003,9.091
ASSIGN → ASSIGN → CALL,import_fix,22,2,0.091,0.01,9.091
IDENTIFIER → IDENTIFIER → IMPORT,import_fix,11,1,0.091,0.01,9.091
ASSIGN → STRING_LITERAL → ASSIGN,config_fix,5,3,0.6,0.067,9.0
FOR → RETURN → IF,loop_fix,34,1,0.029,0.003,8.824
IDENTIFIER → ATTRIBUTE → CALL,async_fix,34,1,0.029,0.003,8.824
STRING_LITERAL → IDENTIFIER → NUMBER,async_fix,34,1,0.029,0.003,8.824
CALL → ASSIGN → FUNCTION,test_fix,7,1,0.143,0.017,8.571
IDENTIFIER → RETURN → STRING_LITERAL,other,7,1,0.143,0.017,8.571
ATTRIBUTE → NUMBER → NUMBER,other,7,1,0.143,0.017,8.571
RETURN → CALL → IF,import_fix,12,1,0.083,0.01,8.333
CALL → IDENTIFIER → NUMBER,import_fix,12,1,0.083,0.01,8.333
IF → IF → STRING_LITERAL,import_fix,12,1,0.083,0.01,8.333
IF → IDENTIFIER → NUMBER,import_fix,12,1,0.083,0.01,8.333
WHILE → RETURN → IF,string_fix,6,2,0.333,0.04,8.333
CALL → STRING_LITERAL → RETURN,import_fix,12,1,0.083,0.01,8.333
IDENTIFIER → CALL → STRING_LITERAL,async_fix,37,1,0.027,0.003,8.108
CALL → CALL → ATTRIBUTE,async_fix,37,1,0.027,0.003,8.108
RETURN → IDENTIFIER → RETURN,async_fix,38,1,0.026,0.003,7.895
IF → IDENTIFIER → ASSIGN,import_fix,13,1,0.077,0.01,7.692
STRING_LITERAL → IF → ASSIGN,import_fix,13,1,0.077,0.01,7.692
NUMBER → IMPORT → FROM,import_fix,13,1,0.077,0.01,7.692
RETURN → IMPORT → FROM,loop_fix,39,1,0.026,0.003,7.692
NUMBER → IMPORT,import_fix,13,1,0.077,0.01,7.692
FOR → STRING_LITERAL,import_fix,13,1,0.077,0.01,7.692
IDENTIFIER → ATTRIBUTE → FUNCTION,import_fix,13,1,0.077,0.01,7.692
IDENTIFIER → NUMBER → IF,refactor,6,2,0.333,0.043,7.692
ATTRIBUTE → IDENTIFIER → NUMBER,import_fix,13,1,0.077,0.01,7.692
RETURN → IMPORT,loop_fix,40,1,0.025,0.003,7.5
IF → CALL → CALL,test_fix,8,1,0.125,0.017,7.5
ASSIGN → CALL → ATTRIBUTE,test_fix,8,1,0.125,0.017,7.5
IDENTIFIER → ASSIGN → CALL,test_fix,16,2,0.125,0.017,7.5
STRING_LITERAL → NUMBER → IMPORT,other,8,1,0.125,0.017,7.5
FROM → IF → FUNCTION,test_fix,8,1,0.125,0.017,7.5
STRING_LITERAL → IF,import_fix,41,3,0.073,0.01,7.317
IF → FOR → ASSIGN,import_fix,14,1,0.071,0.01,7.143
FUNCTION → IDENTIFIER → CALL,string_fix,7,2,0.286,0.04,7.143
RETURN → IF → STRING_LITERAL,import_fix,14,1,0.071,0.01,7.143
STRING_LITERAL → RETURN → STRING_LITERAL,import_fix,14,1,0.071,0.01,7.143
CALL → STRING_LITERAL → ASSIGN,import_fix,14,1,0.071,0.01,7.143
RETURN → STRING_LITERAL → IF,import_fix,14,1,0.071,0.01,7.143
STRING_LITERAL → IMPORT → FROM,import_fix,15,1,0.067,0.01,6.667
CALL → CALL → NUMBER,test_fix,9,1,0.111,0.017,6.667
IF → CALL → IF,import_fix,15,1,0.067,0.01,6.667
IF → CALL → IDENTIFIER,import_fix,15,1,0.067,0.01,6.667
FOR → IDENTIFIER → IDENTIFIER,import_fix,15,1,0.067,0.01,6.667
ASSIGN → FOR → FUNCTION,test_fix,9,1,0.111,0.017,6.667
CALL → STRING_LITERAL → STRING_LITERAL,test_fix,18,2,0.111,0.017,6.667
CALL → IDENTIFIER → ATTRIBUTE,async_fix,45,1,0.022,0.003,6.667
NUMBER → ASSIGN → ASSIGN,other,9,1,0.111,0.017,6.667
IF → IF → CALL,import_fix,15,1,0.067,0.01,6.667
STRING_LITERAL → IMPORT,import_fix,15,1,0.067,0.01,6.667
RETURN → ATTRIBUTE,async_fix,46,1,0.022,0.003,6.522
ASSIGN → NUMBER,config_fix,7,3,0.429,0.067,6.429
FOR → RETURN → ASSIGN,loop_fix,47,1,0.021,0.003,6.383
STRING_LITERAL → CALL → ASSIGN,test_fix,19,2,0.105,0.017,6.316
ASSIGN → WHILE,loop_fix,48,1,0.021,0.003,6.25
IDENTIFIER → CALL → NUMBER,import_fix,16,1,0.062,0.01,6.25
RETURN → IDENTIFIER → ATTRIBUTE,import_fix,16,1,0.062,0.01,6.25
IF → IF → FOR,import_fix,16,1,0.062,0.01,6.25
CALL → CALL → CALL,async_fix,49,1,0.02,0.003,6.122
ASSIGN → RETURN → ATTRIBUTE,other,10,1,0.1,0.017,6.0
IDENTIFIER → RETURN → ATTRIBUTE,test_fix,10,1,0.1,0.017,6.0
STRING_LITERAL → STRING_LITERAL → CALL,test_fix,20,2,0.1,0.017,6.0
RETURN → ASSIGN → RETURN,async_fix,50,1,0.02,0.003,6.0
IDENTIFIER → ASSIGN → RETURN,test_fix,30,3,0.1,0.017,6.0
RETURN → ATTRIBUTE → ASSIGN,other,10,1,0.1,0.017,6.0
ASSIGN → RETURN → FUNCTION,other,10,1,0.1,0.017,6.0
ASSIGN → IF → IMPORT,other,10,1,0.1,0.017,6.0
IDENTIFIER → IF → FUNCTION,test_fix,10,1,0.1,0.017,6.0
IF → FOR,loop_fix,50,1,0.02,0.003,6.0
CALL → ASSIGN → ATTRIBUTE,config_fix,5,2,0.4,0.067,6.0
IF → IDENTIFIER → RETURN,test_fix,10,1,0.1,0.017,6.0
IDENTIFIER → ASSIGN → STRING_LITERAL,config_fix,5,2,0.4,0.067,6.0
STRING_LITERAL → IF → IF,import_fix,17,1,0.059,0.01,5.882
ATTRIBUTE → NUMBER → CALL,exception_handling,6,4,0.667,0.113,5.882
RETURN → STRING_LITERAL → RETURN,import_fix,17,1,0.059,0.01,5.882
NUMBER → IF,refactor,8,2,0.25,0.043,5.769
NUMBER → NUMBER,import_fix,35,2,0.057,0.01,5.714
RETURN → STRING_LITERAL → STRING_LITERAL,other,21,2,0.095,0.017,5.714
ASSIGN → RETURN → IF,loop_fix,53,1,0.019,0.003,5.66
STRING_LITERAL → STRING_LITERAL → IDENTIFIER,async_fix,54,1,0.019,0.003,5.556
IDENTIFIER → CALL → ATTRIBUTE,async_fix,54,1,0.019,0.003,5.556
FOR → RETURN → STRING_LITERAL,string_fix,9,2,0.222,0.04,5.556
IF → FOR → IF,other,11,1,0.091,0.017,5.455
STRING_LITERAL → ASSIGN → RETURN,test_fix,11,1,0.091,0.017,5.455
FOR → FUNCTION,test_fix,11,1,0.091,0.017,5.455
ATTRIBUTE → ASSIGN → IF,other,11,1,0.091,0.017,5.455
IDENTIFIER → CALL → FOR,other,11,1,0.091,0.017,5.455
FROM → IDENTIFIER → CALL,other,11,1,0.091,0.017,5.455
FUNCTION → IDENTIFIER → RETURN,loop_fix,55,1,0.018,0.003,5.455
FOR → FUNCTION → IDENTIFIER,test_fix,11,1,0.091,0.017,5.455
IF → RETURN → ATTRIBUTE,other,11,1,0.091,0.017,5.455
IF → ASSIGN → FOR,loop_fix,56,1,0.018,0.003,5.357
ATTRIBUTE → RETURN → IDENTIFIER,exception_handling,5,3,0.6,0.113,5.294
RETURN → ATTRIBUTE → RETURN,exception_handling,5,3,0.6,0.113,5.294
NUMBER → NUMBER → STRING_LITERAL,import_fix,19,1,0.053,0.01,5.263
FOR → ASSIGN → RETURN,import_fix,19,1,0.053,0.01,5.263
ASSIGN → STRING_LITERAL,config_fix,20,7,0.35,0.067,5.25
RETURN → RETURN → ASSIGN,loop_fix,58,1,0.017,0.003,5.172
STRING_LITERAL → IDENTIFIER → FUNCTION,refactor,9,2,0.222,0.043,5.128
IF → IDENTIFIER → CALL,import_fix,39,2,0.051,0.01,5.128
IF → NUMBER → STRING_LITERAL,type_coercion,9,2,0.222,0.043,5.128
IDENTIFIER → IDENTIFIER → NUMBER,import_fix,39,2,0.051,0.01,5.128
RETURN → IF → RETURN,loop_fix,59,1,0.017,0.003,5.085
IMPORT → FROM → IF,loop_fix,59,1,0.017,0.003,5.085
ATTRIBUTE → IDENTIFIER → CALL,async_fix,59,1,0.017,0.003,5.085
FROM → IF,loop_fix,59,1,0.017,0.003,5.085
IF → IF → FUNCTION,guard_clause,7,2,0.286,0.057,5.042
NUMBER → IDENTIFIER → STRING_LITERAL,other,12,1,0.083,0.017,5.0
ASSIGN → WHILE → WHILE,string_fix,5,1,0.2,0.04,5.0
CALL → RETURN → STRING_LITERAL,string_fix,5,1,0.2,0.04,5.0
ASSIGN → ASSIGN → STRING_LITERAL,test_fix,12,1,0.083,0.017,5.0
ASSIGN → CALL → CALL,import_fix,20,1,0.05,0.01,5.0
CALL → ATTRIBUTE → IDENTIFIER,async_fix,60,1,0.017,0.003,5.0
WHILE → WHILE → RETURN,string_fix,5,1,0.2,0.04,5.0
WHILE → RETURN → IDENTIFIER,string_fix,5,1,0.2,0.04,5.0
IF → ATTRIBUTE → IDENTIFIER,import_fix,20,1,0.05,0.01,5.0
RETURN → STRING_LITERAL → IDENTIFIER,import_fix,20,1,0.05,0.01,5.0
ASSIGN → IF → FUNCTION,other,12,1,0.083,0.017,5.0
STRING_LITERAL → ASSIGN → IF,test_fix,25,2,0.08,0.017,4.8
ATTRIBUTE → IDENTIFIER → ATTRIBUTE,async_fix,63,1,0.016,0.003,4.762
ATTRIBUTE → ATTRIBUTE → STRING_LITERAL,import_fix,21,1,0.048,0.01,4.762
ATTRIBUTE → CALL,async_fix,63,1,0.016,0.003,4.762
STRING_LITERAL → ATTRIBUTE,async_fix,63,1,0.016,0.003,4.762
ASSIGN → FOR → IF,loop_fix,63,1,0.016,0.003,4.762
ASSIGN → CALL → STRING_LITERAL,refactor,5,1,0.2,0.043,4.615
NUMBER → STRING_LITERAL → IF,type_coercion,5,1,0.2,0.043,4.615
IF → ASSIGN → WHILE,type_coercion,10,2,0.2,0.043,4.615
RETURN → CALL → FUNCTION,refactor,5,1,0.2,0.043,4.615
WHILE → IF → RETURN,refactor,5,1,0.2,0.043,4.615
CALL → IDENTIFIER → IF,refactor,10,2,0.2,0.043,4.615
IDENTIFIER → IF → NUMBER,refactor,5,1,0.2,0.043,4.615
ATTRIBUTE → CALL → ASSIGN,type_coercion,5,1,0.2,0.043,4.615
IDENTIFIER → CALL → IMPORT,refactor,5,1,0.2,0.043,4.615
RETURN → CALL → STRING_LITERAL,type_coercion,10,2,0.2,0.043,4.615
IDENTIFIER → IF → IF,import_fix,44,2,0.045,0.01,4.545
IMPORT → FROM → IDENTIFIER,import_fix,22,1,0.045,0.01,4.545
STRING_LITERAL → ASSIGN → ASSIGN,async_fix,66,1,0.015,0.003,4.545
STRING_LITERAL → RETURN → IDENTIFIER,import_fix,22,1,0.045,0.01,4.545
FROM → IDENTIFIER,import_fix,22,1,0.045,0.01,4.545
CLASS → IDENTIFIER → ASSIGN,async_fix,66,1,0.015,0.003,4.545
IDENTIFIER → IF → IDENTIFIER,import_fix,22,1,0.045,0.01,4.545
IDENTIFIER → STRING_LITERAL → STRING_LITERAL,import_fix,44,2,0.045,0.01,4.545
STRING_LITERAL → IDENTIFIER → STRING_LITERAL,other,40,3,0.075,0.017,4.5
RETURN → FUNCTION,other,27,2,0.074,0.017,4.444
RETURN → FUNCTION → IDENTIFIER,other,27,2,0.074,0.017,4.444
RETURN → ATTRIBUTE → ATTRIBUTE,exception_handling,6,3,0.5,0.113,4.412
RETURN → NUMBER → STRING_LITERAL,exception_handling,8,4,0.5,0.113,4.412
IDENTIFIER → ASSIGN → ATTRIBUTE,guard_clause,8,2,0.25,0.057,4.412
RETURN → IF → ASSIGN,loop_fix,68,1,0.015,0.003,4.412
ATTRIBUTE → IDENTIFIER → ASSIGN,config_fix,17,5,0.294,0.067,4.412
RETURN → IDENTIFIER → IDENTIFIER,async_fix,68,1,0.015,0.003,4.412
FROM → FUNCTION → IDENTIFIER,loop_fix,68,1,0.015,0.003,4.412
FROM → FUNCTION,loop_fix,69,1,0.014,0.003,4.348
IMPORT → FROM → FUNCTION,loop_fix,69,1,0.014,0.003,4.348
NUMBER → IDENTIFIER → CALL,import_fix,23,1,0.043,0.01,4.348
STRING_LITERAL → IDENTIFIER → ATTRIBUTE,import_fix,23,1,0.043,0.01,4.348
FOR → FOR → ASSIGN,test_fix,14,1,0.071,0.017,4.286
IDENTIFIER → FOR → ASSIGN,config_fix,7,2,0.286,0.067,4.286
NUMBER → STRING_LITERAL → CALL,test_fix,14,1,0.071,0.017,4.286
STRING_LITERAL → STRING_LITERAL → NUMBER,config_fix,7,2,0.286,0.067,4.286
CALL → ASSIGN → IF,test_fix,42,3,0.071,0.017,4.286
ASSIGN → RETURN → RETURN,async_fix,70,1,0.014,0.003,4.286
NUMBER → STRING_LITERAL → IDENTIFIER,test_fix,28,2,0.071,0.017,4.286
NUMBER → IDENTIFIER,async_fix,71,1,0.014,0.003,4.225
ATTRIBUTE → STRING_LITERAL,async_fix,71,1,0.014,0.003,4.225
ASSIGN → ASSIGN → IMPORT,type_coercion,11,2,0.182,0.043,4.196
FOR → RETURN → CALL,refactor,11,2,0.182,0.043,4.196
CALL → IF → ASSIGN,import_fix,24,1,0.042,0.01,4.167
WHILE → RETURN,string_fix,18,3,0.167,0.04,4.167
FROM → IF → RETURN,string_fix,6,1,0.167,0.04,4.167
FOR → IF → IDENTIFIER,string_fix,6,1,0.167,0.04,4.167
IDENTIFIER → ATTRIBUTE → IF,string_fix,6,1,0.167,0.04,4.167
IDENTIFIER → RETURN → IDENTIFIER,async_fix,72,1,0.014,0.003,4.167
IDENTIFIER → STRING_LITERAL → RETURN,import_fix,24,1,0.042,0.01,4.167
STRING_LITERAL → RETURN → CALL,string_fix,6,1,0.167,0.04,4.167
RETURN → IDENTIFIER → STRING_LITERAL,import_fix,24,1,0.042,0.01,4.167
RETURN → IDENTIFIER → FOR,string_fix,6,1,0.167,0.04,4.167
RETURN → RETURN → IF,other,29,2,0.069,0.017,4.138
CALL → RETURN,async_fix,73,1,0.014,0.003,4.11
ASSIGN → STRING_LITERAL → IDENTIFIER,config_fix,11,3,0.273,0.067,4.091
STRING_LITERAL → IDENTIFIER → RETURN,guard_clause,13,3,0.231,0.057,4.072
ATTRIBUTE → ATTRIBUTE,async_fix,74,1,0.014,0.003,4.054
RETURN → IF → IF,loop_fix,74,1,0.014,0.003,4.054
ASSIGN → FOR → ASSIGN,loop_fix,74,1,0.014,0.003,4.054
ATTRIBUTE → FUNCTION → IDENTIFIER,import_fix,25,1,0.04,0.01,4.0
FOR → IF → IF,other,15,1,0.067,0.017,4.0
IDENTIFIER → RETURN → ASSIGN,other,30,2,0.067,0.017,4.0
ATTRIBUTE → FUNCTION,import_fix,25,1,0.04,0.01,4.0
RETURN → CALL,async_fix,76,1,0.013,0.003,3.947
IF → IDENTIFIER → ATTRIBUTE,exception_handling,9,4,0.444,0.113,3.922
FOR → IF,loop_fix,77,1,0.013,0.003,3.896
IDENTIFIER → IDENTIFIER → ATTRIBUTE,async_fix,77,1,0.013,0.003,3.896
CALL → NUMBER,test_fix,31,2,0.065,0.017,3.871
IDENTIFIER → RETURN → RETURN,import_fix,26,1,0.038,0.01,3.846
NUMBER → NUMBER → ATTRIBUTE,type_coercion,6,1,0.167,0.043,3.846
STRING_LITERAL → CALL → STRING_LITERAL,import_fix,26,1,0.038,0.01,3.846
CALL → IMPORT,refactor,6,1,0.167,0.043,3.846
IF → IDENTIFIER → STRING_LITERAL,import_fix,26,1,0.038,0.01,3.846
RETURN → FOR → IDENTIFIER,type_coercion,6,1,0.167,0.043,3.846
IDENTIFIER → ATTRIBUTE → ATTRIBUTE,import_fix,52,2,0.038,0.01,3.846
ASSIGN → WHILE → RETURN,string_fix,13,2,0.154,0.04,3.846
IF → STRING_LITERAL → RETURN,refactor,6,1,0.167,0.043,3.846
NUMBER → CALL,import_fix,26,1,0.038,0.01,3.846
FOR → FOR → FOR,refactor,6,1,0.167,0.043,3.846
IDENTIFIER → RETURN → FOR,type_coercion,6,1,0.167,0.043,3.846
RETURN → STRING_LITERAL,async_fix,78,1,0.013,0.003,3.846
ASSIGN → RETURN → CALL,import_fix,26,1,0.038,0.01,3.846
ASSIGN → ASSIGN → CLASS,other,63,4,0.063,0.017,3.81
CALL → CALL → IDENTIFIER,async_fix,79,1,0.013,0.003,3.797
ASSIGN → IDENTIFIER → IF,exception_handling,7,3,0.429,0.113,3.782
IDENTIFIER → ATTRIBUTE → RETURN,exception_handling,7,3,0.429,0.113,3.782
IF → CALL,import_fix,53,2,0.038,0.01,3.774
STRING_LITERAL → STRING_LITERAL → ATTRIBUTE,test_fix,16,1,0.062,0.017,3.75
IDENTIFIER → ASSIGN → FOR,import_fix,27,1,0.037,0.01,3.704
ATTRIBUTE → IDENTIFIER → IDENTIFIER,async_fix,81,1,0.012,0.003,3.704
STRING_LITERAL → CALL,async_fix,81,1,0.012,0.003,3.704
ASSIGN → CALL,import_fix,54,2,0.037,0.01,3.704
ASSIGN → IDENTIFIER → ASSIGN,string_fix,27,4,0.148,0.04,3.704
CALL → STRING_LITERAL,async_fix,82,1,0.012,0.003,3.659
FROM → CLASS → IDENTIFIER,async_fix,82,1,0.012,0.003,3.659
FROM → CLASS,async_fix,82,1,0.012,0.003,3.659
FROM → ASSIGN → ASSIGN,loop_fix,82,1,0.012,0.003,3.659
IMPORT → FROM → CLASS,async_fix,82,1,0.012,0.003,3.659
WHILE → WHILE,string_fix,7,1,0.143,0.04,3.571
CALL → ATTRIBUTE,async_fix,84,1,0.012,0.003,3.571
IF → RETURN → NUMBER,string_fix,7,1,0.143,0.04,3.571
IF → NUMBER,type_coercion,13,2,0.154,0.043,3.55
FOR → CALL,other,17,1,0.059,0.017,3.529
ASSIGN → IMPORT → FROM,test_fix,17,1,0.059,0.017,3.529
ASSIGN → CALL → IF,guard_clause,5,1,0.2,0.057,3.529
NUMBER → NUMBER → NUMBER,test_fix,17,1,0.059,0.017,3.529
ASSIGN → IMPORT,test_fix,17,1,0.059,0.017,3.529
FOR → RETURN → FOR,guard_clause,5,1,0.2,0.057,3.529
ASSIGN → CALL → ASSIGN,test_fix,17,1,0.059,0.017,3.529
ATTRIBUTE → CALL → NUMBER,exception_handling,5,2,0.4,0.113,3.529
STRING_LITERAL → STRING_LITERAL → ASSIGN,other,17,1,0.059,0.017,3.529
IF → RETURN → IMPORT,other,17,1,0.059,0.017,3.529
RETURN → NUMBER,test_fix,17,1,0.059,0.017,3.529
ATTRIBUTE → ASSIGN → RETURN,guard_clause,5,1,0.2,0.057,3.529
IF → RETURN → RETURN,import_fix,57,2,0.035,0.01,3.509
STRING_LITERAL → STRING_LITERAL,async_fix,86,1,0.012,0.003,3.488
NUMBER → STRING_LITERAL,import_fix,58,2,0.034,0.01,3.448
CALL → IDENTIFIER → STRING_LITERAL,test_fix,53,3,0.057,0.017,3.396
FOR → ASSIGN,loop_fix,89,1,0.011,0.003,3.371
STRING_LITERAL → CALL → ATTRIBUTE,test_fix,18,1,0.056,0.017,3.333
ASSIGN → FOR → IDENTIFIER,other,18,1,0.056,0.017,3.333
STRING_LITERAL → NUMBER,import_fix,30,1,0.033,0.01,3.333
IF → IF → IMPORT,exception_handling,8,3,0.375,0.113,3.309
CALL → FOR → IDENTIFIER,exception_handling,8,3,0.375,0.113,3.309
STRING_LITERAL → IF → RETURN,exception_handling,8,3,0.375,0.113,3.309
IDENTIFIER → FOR → IDENTIFIER,refactor,7,1,0.143,0.043,3.297
NUMBER → STRING_LITERAL → STRING_LITERAL,type_coercion,7,1,0.143,0.043,3.297
FOR → ATTRIBUTE,refactor,7,1,0.143,0.043,3.297
IDENTIFIER → NUMBER,async_fix,91,1,0.011,0.003,3.297
NUMBER → CALL → ATTRIBUTE,type_coercion,7,1,0.143,0.043,3.297
