instance_id,n_agents,n_resolved,all_resolved,n_steps_mean,n_steps_range,n_steps_cv,n_edits_range,mean_pairwise_levenshtein,max_pairwise_levenshtein
django__django-13660,3,0,False,16.0,9.0,0.2339,2.0,0.4544,0.5556
django__django-13710,3,2,False,33.0,34.0,0.4542,37.0,0.5222,0.5333
django__django-13757,3,0,False,56.0,64.0,0.4989,20.0,0.6711,0.76
django__django-13768,3,0,False,26.0,24.0,0.3922,2.0,0.5942,0.6875
django__django-13925,3,0,False,29.3333,60.0,0.8948,2.0,0.7731,0.9268
django__django-13933,3,2,False,32.6667,54.0,0.6901,48.0,0.5446,0.6364
django__django-13964,3,0,False,47.3333,36.0,0.3364,16.0,0.5141,0.6038
django__django-14016,3,1,False,39.0,47.0,0.5455,52.0,0.4606,0.5556
django__django-14017,3,0,False,45.6667,38.0,0.3923,26.0,0.6359,0.7581
django__django-14155,3,0,False,9.3333,3.0,0.1336,1.0,0.4889,0.7
django__django-14238,3,3,True,22.6667,6.0,0.11,6.0,0.4939,0.7
django__django-14382,3,2,False,15.6667,20.0,0.5621,5.0,0.4697,0.6364
django__django-14411,2,0,False,27.5,23.0,0.4182,2.0,0.7241,0.7241
django__django-14534,3,0,False,25.3333,26.0,0.4292,9.0,0.6176,0.7059
django__django-14580,3,0,False,39.3333,54.0,0.561,48.0,0.7267,0.8125
django__django-14608,3,1,False,18.3333,12.0,0.2721,6.0,0.6538,0.8333
django__django-14667,3,0,False,55.6667,45.0,0.3346,50.0,0.797,0.9242
django__django-14672,3,2,False,26.3333,29.0,0.5022,38.0,0.7556,0.8
django__django-14730,3,0,False,37.6667,56.0,0.6284,7.0,0.7255,0.86
django__django-14752,3,2,False,23.6667,55.0,1.0857,3.0,0.6389,0.9583
django__django-14787,3,1,False,14.3333,11.0,0.3618,7.0,0.4722,0.5882
django__django-14855,3,3,True,35.3333,59.0,0.6934,38.0,0.6433,0.7895
django__django-14915,3,2,False,12.6667,10.0,0.3244,3.0,0.6132,0.7059
django__django-14997,3,0,False,32.0,11.0,0.1552,4.0,0.5119,0.5357
django__django-14999,3,2,False,31.3333,52.0,0.6817,5.0,0.6167,0.7
django__django-15061,3,0,False,24.6667,30.0,0.498,5.0,0.7271,0.7778
django__django-15202,3,0,False,40.0,42.0,0.4416,44.0,0.5571,0.7
django__django-15213,3,2,False,50.3333,30.0,0.2607,11.0,0.5651,0.6346
django__django-15252,3,0,False,31.3333,51.0,0.6645,36.0,0.7319,0.9062
django__django-15320,3,0,False,30.6667,53.0,0.7727,32.0,0.6558,0.8
django__django-15347,3,3,True,10.3333,4.0,0.1825,3.0,0.2778,0.4167
django__django-15388,3,0,False,25.3333,16.0,0.2585,3.0,0.6791,0.7917
django__django-15400,3,1,False,11.6667,2.0,0.0808,1.0,0.5126,0.75
django__django-15498,3,1,False,17.3333,11.0,0.276,1.0,0.6905,0.8333
django__django-15695,3,0,False,44.0,34.0,0.354,16.0,0.7222,0.7826
django__django-15738,3,0,False,25.3333,26.0,0.4256,5.0,0.8442,0.9565
django__django-15781,3,0,False,39.0,44.0,0.4733,46.0,0.5193,0.6316
django__django-15789,3,1,False,23.0,30.0,0.5465,11.0,0.7255,0.8529
django__django-15790,3,0,False,46.0,31.0,0.279,16.0,0.7306,0.8919
django__django-15814,3,1,False,35.3333,51.0,0.6124,49.0,0.4571,0.5714
django__django-15819,3,0,False,37.3333,59.0,0.6452,28.0,0.7468,0.9077
django__django-15851,3,2,False,44.6667,51.0,0.4747,25.0,0.7318,0.8667
django__django-15902,3,0,False,31.0,42.0,0.6171,24.0,0.7629,0.8235
django__django-15996,3,0,False,18.6667,12.0,0.2637,7.0,0.5439,0.6087
django__django-16041,3,0,False,45.0,32.0,0.3301,14.0,0.608,0.6897
django__django-16046,3,2,False,18.3333,16.0,0.36,5.0,0.4924,0.64
django__django-16139,3,2,False,47.0,67.0,0.6242,36.0,0.7155,0.9242
django__django-16229,3,0,False,54.0,29.0,0.2288,10.0,0.4679,0.5577
django__django-16255,3,3,True,9.0,7.0,0.3271,1.0,0.5,0.6667
django__django-16379,3,3,True,12.0,8.0,0.2966,5.0,0.4,0.5
django__django-16400,3,0,False,37.3333,34.0,0.4293,24.0,0.7585,0.8824
django__django-16408,3,0,False,58.6667,36.0,0.2746,17.0,0.7419,0.791
django__django-16527,3,3,True,20.3333,43.0,0.964,28.0,0.6752,0.8846
django__django-16595,3,2,False,28.0,32.0,0.5305,33.0,0.619,0.6429
django__django-16816,3,0,False,42.0,51.0,0.5095,23.0,0.6823,0.7727
django__django-16820,3,0,False,56.0,60.0,0.4553,23.0,0.8583,0.9821
django__django-16873,3,3,True,36.0,41.0,0.4654,21.0,0.6836,0.8163
django__django-16910,3,0,False,53.0,32.0,0.2803,46.0,0.6745,0.7193
django__django-17051,3,0,False,30.6667,47.0,0.6642,15.0,0.7425,0.8889
django__django-17087,3,1,False,43.0,40.0,0.4138,12.0,0.711,0.75
matplotlib__matplotlib-18869,2,0,False,21.0,2.0,0.0476,0.0,0.4737,0.4737
matplotlib__matplotlib-22711,3,0,False,10.3333,6.0,0.254,3.0,0.3675,0.4615
matplotlib__matplotlib-22835,2,0,False,14.0,4.0,0.1429,1.0,0.3571,0.3571
matplotlib__matplotlib-23299,2,0,False,55.0,44.0,0.4,16.0,0.5667,0.5667
matplotlib__matplotlib-23314,2,0,False,38.0,30.0,0.3947,15.0,0.6053,0.6053
matplotlib__matplotlib-23476,2,0,False,24.0,28.0,0.5833,7.0,0.7419,0.7419
matplotlib__matplotlib-23562,2,0,False,13.0,6.0,0.2308,1.0,0.5385,0.5385
matplotlib__matplotlib-23563,2,0,False,17.5,5.0,0.1429,5.0,0.4737,0.4737
matplotlib__matplotlib-23913,2,0,False,27.0,6.0,0.1111,4.0,0.6667,0.6667
matplotlib__matplotlib-23964,2,2,True,9.5,3.0,0.1579,2.0,0.3636,0.3636
matplotlib__matplotlib-23987,2,0,False,27.5,11.0,0.2,2.0,0.52,0.52
matplotlib__matplotlib-24149,2,1,False,20.5,17.0,0.4146,8.0,0.6667,0.6667
matplotlib__matplotlib-24265,2,0,False,17.0,2.0,0.0588,4.0,0.625,0.625
matplotlib__matplotlib-24334,2,0,False,23.5,21.0,0.4468,2.0,0.9231,0.9231
matplotlib__matplotlib-24970,2,1,False,16.5,11.0,0.3333,3.0,0.5,0.5
matplotlib__matplotlib-25079,2,0,False,29.0,4.0,0.069,6.0,0.6207,0.6207
matplotlib__matplotlib-25311,2,0,False,16.5,11.0,0.3333,5.0,0.5882,0.5882
matplotlib__matplotlib-25332,2,1,False,36.0,6.0,0.0833,2.0,0.4828,0.4828
matplotlib__matplotlib-25433,2,0,False,31.0,22.0,0.3548,8.0,0.6061,0.6061
matplotlib__matplotlib-25442,2,0,False,22.5,27.0,0.6,13.0,0.7667,0.7667
matplotlib__matplotlib-25498,2,0,False,26.0,14.0,0.2692,17.0,0.4118,0.4118
matplotlib__matplotlib-26011,2,2,True,22.0,16.0,0.3636,4.0,0.6552,0.6552
matplotlib__matplotlib-26020,2,1,False,10.5,3.0,0.1429,3.0,0.4167,0.4167
mwaskom__seaborn-2848,3,0,False,35.3333,48.0,0.5586,24.0,0.7049,0.8235
mwaskom__seaborn-3010,3,2,False,18.3333,18.0,0.4505,9.0,0.5139,0.72
mwaskom__seaborn-3190,3,1,False,31.6667,39.0,0.5094,16.0,0.6069,0.7727
mwaskom__seaborn-3407,3,0,False,18.0,8.0,0.1814,3.0,0.4762,0.5556
pallets__flask-4045,3,0,False,20.6667,33.0,0.7027,28.0,0.5214,0.6154
pallets__flask-4992,3,0,False,19.3333,13.0,0.317,7.0,0.6786,0.7143
pallets__flask-5063,3,0,False,9.3333,2.0,0.101,2.0,0.455,0.6667
psf__requests-1963,3,1,False,53.6667,31.0,0.2501,9.0,0.5197,0.6094
psf__requests-2148,3,0,False,18.6667,19.0,0.4677,16.0,0.6706,0.7059
psf__requests-2317,3,3,True,10.0,2.0,0.0816,0.0,0.0667,0.1
psf__requests-2674,3,1,False,39.0,46.0,0.4937,28.0,0.7241,0.7333
psf__requests-3362,3,0,False,16.6667,12.0,0.315,4.0,0.5238,0.6667
psf__requests-863,3,0,False,42.0,58.0,0.5884,45.0,0.7291,0.8654
pydata__xarray-3364,3,0,False,52.0,33.0,0.2865,42.0,0.7064,0.8085
pydata__xarray-4094,3,0,False,19.0,10.0,0.2274,3.0,0.3737,0.4211
pydata__xarray-4248,3,0,False,33.0,47.0,0.6274,13.0,0.5933,0.74
pydata__xarray-4493,3,0,False,54.3333,41.0,0.3238,40.0,0.6033,0.7143
pydata__xarray-5131,3,2,False,16.0,13.0,0.3572,9.0,0.5962,0.65
pylint-dev__pylint-5859,3,1,False,21.6667,20.0,0.3868,7.0,0.4872,0.6538
pylint-dev__pylint-6506,3,0,False,14.3333,20.0,0.6275,13.0,0.6039,0.7826
pylint-dev__pylint-7080,3,0,False,23.3333,35.0,0.6624,5.0,0.7821,0.9
pylint-dev__pylint-7114,3,0,False,25.3333,30.0,0.5059,34.0,0.5417,0.625
pylint-dev__pylint-7228,3,0,False,32.6667,12.0,0.1607,7.0,0.6283,0.6765
pylint-dev__pylint-7993,3,0,False,28.3333,46.0,0.7416,27.0,0.7749,0.9474
pytest-dev__pytest-11143,3,3,True,10.3333,5.0,0.1989,3.0,0.5238,0.5714
pytest-dev__pytest-11148,2,0,False,40.5,49.0,0.6049,5.0,0.9388,0.9388
pytest-dev__pytest-5103,3,0,False,35.3333,53.0,0.6185,51.0,0.6834,0.8261
pytest-dev__pytest-5221,3,0,False,39.0,55.0,0.5828,10.0,0.6559,0.7188
pytest-dev__pytest-5227,3,3,True,10.6667,6.0,0.2339,5.0,0.4583,0.5
pytest-dev__pytest-5413,3,0,False,20.6667,7.0,0.1387,1.0,0.3296,0.3889
pytest-dev__pytest-5495,3,0,False,42.6667,33.0,0.3541,21.0,0.6954,0.7931
pytest-dev__pytest-5692,3,2,False,29.3333,35.0,0.5105,35.0,0.4365,0.5714
pytest-dev__pytest-6116,3,0,False,34.6667,51.0,0.6321,56.0,0.6167,0.625
pytest-dev__pytest-7168,3,0,False,24.6667,45.0,0.8164,40.0,0.5556,0.5833
pytest-dev__pytest-7220,3,1,False,48.6667,28.0,0.2357,19.0,0.5671,0.6316
pytest-dev__pytest-7373,3,2,False,21.3333,22.0,0.4353,18.0,0.4481,0.5556
pytest-dev__pytest-7432,3,1,False,13.0,4.0,0.1256,1.0,0.4545,0.5
pytest-dev__pytest-7490,3,0,False,32.6667,33.0,0.4155,14.0,0.5387,0.6552
pytest-dev__pytest-8365,3,0,False,14.6667,8.0,0.225,4.0,0.4872,0.5385
pytest-dev__pytest-8906,3,0,False,21.6667,5.0,0.0948,2.0,0.5239,0.6364
pytest-dev__pytest-9359,3,0,False,38.0,71.0,0.857,2.0,0.7232,0.9254
scikit-learn__scikit-learn-10297,2,2,True,26.0,12.0,0.2308,4.0,0.36,0.36
scikit-learn__scikit-learn-10508,3,0,False,11.0,4.0,0.1485,1.0,0.2424,0.3636
scikit-learn__scikit-learn-10949,3,0,False,39.0,45.0,0.4714,23.0,0.6102,0.78
scikit-learn__scikit-learn-11040,3,0,False,33.0,11.0,0.1378,9.0,0.4944,0.56
scikit-learn__scikit-learn-11281,3,0,False,49.0,34.0,0.2962,31.0,0.6083,0.6667
scikit-learn__scikit-learn-12471,3,0,False,36.6667,37.0,0.4522,9.0,0.7247,0.8136
scikit-learn__scikit-learn-13142,3,1,False,36.0,34.0,0.3935,20.0,0.6769,0.82
scikit-learn__scikit-learn-13241,3,1,False,16.0,23.0,0.6271,10.0,0.6061,0.7273
scikit-learn__scikit-learn-13439,2,0,False,45.5,21.0,0.2308,21.0,0.1429,0.1429
scikit-learn__scikit-learn-13496,3,2,False,14.6667,11.0,0.3166,1.0,0.4185,0.5556
scikit-learn__scikit-learn-13497,3,0,False,38.6667,33.0,0.3548,32.0,0.5914,0.6774
scikit-learn__scikit-learn-13584,2,1,False,36.5,49.0,0.6712,26.0,0.8519,0.8519
scikit-learn__scikit-learn-13779,3,2,False,10.6667,3.0,0.1169,2.0,0.1886,0.2727
scikit-learn__scikit-learn-14087,3,2,False,26.6667,21.0,0.3274,16.0,0.4195,0.5517
scikit-learn__scikit-learn-14092,2,0,False,29.5,9.0,0.1525,12.0,0.4706,0.4706
scikit-learn__scikit-learn-14894,3,3,True,25.0,14.0,0.2286,11.0,0.4048,0.5
scikit-learn__scikit-learn-14983,2,0,False,33.0,2.0,0.0303,9.0,0.4444,0.4444
scikit-learn__scikit-learn-15512,3,1,False,34.3333,37.0,0.4426,27.0,0.6061,0.7576
scikit-learn__scikit-learn-15535,3,3,True,30.0,45.0,0.665,31.0,0.6236,0.7838
scikit-learn__scikit-learn-25500,3,0,False,11.0,4.0,0.1485,1.0,0.2121,0.2727
scikit-learn__scikit-learn-25570,2,1,False,21.0,16.0,0.381,15.0,0.2727,0.2727
scikit-learn__scikit-learn-25638,3,0,False,25.0,21.0,0.396,17.0,0.6319,0.6667
scikit-learn__scikit-learn-25747,3,0,False,15.6667,4.0,0.1085,2.0,0.2952,0.3333
sphinx-doc__sphinx-10325,3,0,False,25.3333,15.0,0.2419,4.0,0.5556,0.5833
sphinx-doc__sphinx-10451,3,0,False,44.6667,27.0,0.2626,11.0,0.6403,0.7273
sphinx-doc__sphinx-11445,2,0,False,45.5,25.0,0.2747,32.0,0.75,0.75
sphinx-doc__sphinx-7686,2,0,False,29.5,3.0,0.0508,2.0,0.5909,0.5909
sphinx-doc__sphinx-7738,2,0,False,45.5,35.0,0.3846,10.0,0.6522,0.6522
sphinx-doc__sphinx-7975,3,0,False,25.0,31.0,0.5666,13.0,0.8152,0.8529
sphinx-doc__sphinx-8273,3,0,False,32.6667,46.0,0.5756,29.0,0.7197,0.8485
sphinx-doc__sphinx-8282,3,0,False,36.3333,65.0,0.8307,12.0,0.8027,0.8966
sphinx-doc__sphinx-8435,3,0,False,34.3333,17.0,0.205,2.0,0.454,0.5517
sphinx-doc__sphinx-8474,3,0,False,36.0,61.0,0.7681,0.0,0.6654,0.8276
sphinx-doc__sphinx-8506,3,0,False,43.0,53.0,0.5756,47.0,0.7604,0.8936
sphinx-doc__sphinx-8595,3,0,False,36.3333,52.0,0.6393,17.0,0.7115,0.86
sphinx-doc__sphinx-8627,2,0,False,43.5,39.0,0.4483,11.0,0.6909,0.6909
sphinx-doc__sphinx-8713,3,1,False,34.0,67.0,0.9154,16.0,0.6111,0.875
sphinx-doc__sphinx-8721,3,0,False,35.6667,54.0,0.6204,4.0,0.6723,0.7857
sphinx-doc__sphinx-8801,3,0,False,23.6667,9.0,0.1702,9.0,0.4184,0.4737
sympy__sympy-11400,3,0,False,21.6667,22.0,0.4151,16.0,0.5479,0.6316
sympy__sympy-11870,3,0,False,30.3333,52.0,0.7329,49.0,0.4428,0.5556
sympy__sympy-11897,3,0,False,32.0,37.0,0.4967,26.0,0.5263,0.6818
sympy__sympy-12171,3,0,False,32.3333,29.0,0.368,16.0,0.5715,0.7073
sympy__sympy-12236,3,0,False,46.0,53.0,0.4998,26.0,0.7053,0.8545
sympy__sympy-12419,3,0,False,57.6667,49.0,0.3481,22.0,0.5468,0.6071
sympy__sympy-12454,3,0,False,10.3333,2.0,0.0912,0.0,0.2545,0.4
sympy__sympy-12481,3,1,False,25.3333,22.0,0.3565,10.0,0.5476,0.7143
sympy__sympy-13031,3,0,False,20.3333,21.0,0.4757,2.0,0.5057,0.5556
sympy__sympy-13043,3,0,False,51.0,30.0,0.2645,17.0,0.4904,0.5962
sympy__sympy-13146,3,0,False,23.0,20.0,0.4001,4.0,0.5455,0.64
sympy__sympy-13177,3,0,False,34.6667,50.0,0.5913,24.0,0.7751,0.8983
sympy__sympy-13437,3,0,False,30.0,18.0,0.2494,13.0,0.5204,0.5556
sympy__sympy-13471,3,0,False,27.3333,23.0,0.3967,24.0,0.6429,0.75
sympy__sympy-13480,3,3,True,8.3333,1.0,0.0566,0.0,0.1574,0.25
sympy__sympy-13647,3,3,True,34.3333,72.0,0.9818,7.0,0.6065,0.8714
sympy__sympy-13773,3,0,False,43.3333,24.0,0.2558,20.0,0.6639,0.7636
sympy__sympy-13895,3,0,False,51.3333,64.0,0.5228,33.0,0.7298,0.8333
sympy__sympy-13915,3,0,False,35.6667,48.0,0.552,27.0,0.8053,0.8704
sympy__sympy-13971,3,1,False,25.6667,41.0,0.7044,14.0,0.5952,0.7826
sympy__sympy-14024,3,0,False,48.0,24.0,0.2224,21.0,0.6764,0.8571
sympy__sympy-14308,3,0,False,43.3333,24.0,0.2264,16.0,0.5526,0.6579
sympy__sympy-14317,3,0,False,33.3333,48.0,0.5987,22.0,0.7428,0.8621
sympy__sympy-14396,3,0,False,28.3333,7.0,0.1165,5.0,0.4394,0.4545
sympy__sympy-14774,3,3,True,8.3333,3.0,0.1497,1.0,0.1528,0.2222
sympy__sympy-14817,2,1,False,12.5,1.0,0.04,0.0,0.1818,0.1818
sympy__sympy-15011,3,1,False,25.0,14.0,0.2286,9.0,0.4083,0.5
sympy__sympy-15308,3,0,False,19.0,10.0,0.2274,3.0,0.4351,0.5455
sympy__sympy-15345,3,0,False,32.6667,48.0,0.6083,26.0,0.7297,0.8727
sympy__sympy-15346,3,0,False,42.6667,56.0,0.5884,21.0,0.6712,0.8462
sympy__sympy-15609,3,0,False,32.3333,31.0,0.3931,24.0,0.576,0.6875
sympy__sympy-15678,3,2,False,26.3333,20.0,0.358,15.0,0.5637,0.64
sympy__sympy-16106,3,0,False,13.0,10.0,0.314,3.0,0.4778,0.5333
sympy__sympy-16281,3,0,False,16.0,7.0,0.184,1.0,0.4804,0.6471
sympy__sympy-16503,3,0,False,35.3333,37.0,0.4362,34.0,0.5617,0.5926
sympy__sympy-16792,3,0,False,29.6667,48.0,0.7263,40.0,0.5556,0.6667
sympy__sympy-16988,3,1,False,37.3333,56.0,0.6156,34.0,0.6763,0.8163
sympy__sympy-17022,3,0,False,59.6667,39.0,0.3043,30.0,0.6971,0.8077
sympy__sympy-17139,3,0,False,10.3333,4.0,0.1825,1.0,0.3162,0.3333
sympy__sympy-17630,3,0,False,43.0,22.0,0.2089,20.0,0.7435,0.8857
sympy__sympy-17655,3,0,False,26.6667,44.0,0.7527,48.0,0.441,0.5385
sympy__sympy-18057,3,0,False,22.3333,20.0,0.3805,21.0,0.5351,0.6316
sympy__sympy-18087,3,0,False,48.0,54.0,0.4823,22.0,0.6671,0.8167
sympy__sympy-18189,3,0,False,24.0,29.0,0.5601,13.0,0.523,0.7097
sympy__sympy-18199,3,0,False,18.3333,16.0,0.36,14.0,0.5315,0.6923
sympy__sympy-18532,3,1,False,16.6667,4.0,0.102,5.0,0.4284,0.4706
sympy__sympy-18621,3,1,False,25.0,18.0,0.3394,9.0,0.5844,0.5909
sympy__sympy-18698,3,0,False,44.6667,63.0,0.6151,9.0,0.6901,0.8875
sympy__sympy-18835,3,0,False,14.3333,9.0,0.281,4.0,0.5395,0.6842
sympy__sympy-19007,3,0,False,32.3333,39.0,0.5251,41.0,0.5,0.5714
sympy__sympy-19254,3,0,False,17.0,12.0,0.3328,10.0,0.4687,0.6111
sympy__sympy-19487,3,0,False,42.6667,36.0,0.3732,41.0,0.4386,0.5172
sympy__sympy-20049,3,0,False,33.6667,39.0,0.5326,47.0,0.5476,0.619
sympy__sympy-20154,3,2,False,21.0,24.0,0.5084,22.0,0.5256,0.6923
sympy__sympy-20212,3,2,False,22.3333,19.0,0.3475,5.0,0.5143,0.5714
sympy__sympy-20322,3,0,False,41.6667,59.0,0.611,18.0,0.6905,0.8214
sympy__sympy-20442,3,0,False,13.6667,8.0,0.2759,6.0,0.4476,0.5714
sympy__sympy-20590,3,1,False,38.3333,55.0,0.5858,3.0,0.6495,0.7647
sympy__sympy-20639,3,0,False,55.0,47.0,0.3491,20.0,0.5811,0.6486
sympy__sympy-21055,3,1,False,19.3333,21.0,0.4709,21.0,0.4033,0.4615
sympy__sympy-21171,3,0,False,16.0,13.0,0.3572,3.0,0.332,0.4737
sympy__sympy-21379,3,0,False,44.3333,45.0,0.4241,35.0,0.5636,0.5676
sympy__sympy-21612,3,0,False,33.0,53.0,0.6968,20.0,0.7263,0.871
sympy__sympy-21614,2,0,False,47.0,28.0,0.2979,34.0,0.4545,0.4545
sympy__sympy-21627,3,0,False,51.3333,58.0,0.5194,5.0,0.7032,0.8148
sympy__sympy-21847,3,1,False,11.3333,1.0,0.0416,1.0,0.1576,0.2
sympy__sympy-22005,3,0,False,30.0,64.0,0.9688,29.0,0.7923,0.9206
sympy__sympy-22714,3,1,False,28.0,27.0,0.4134,16.0,0.7152,0.7879
sympy__sympy-22840,3,1,False,35.6667,29.0,0.3651,18.0,0.5637,0.6667
sympy__sympy-23117,3,1,False,19.3333,21.0,0.4709,3.0,0.4302,0.4615
sympy__sympy-23191,3,0,False,32.3333,34.0,0.4693,23.0,0.6251,0.6667
sympy__sympy-23262,3,2,False,13.6667,3.0,0.0913,1.0,0.2912,0.4286
sympy__sympy-24066,3,1,False,17.3333,22.0,0.562,13.0,0.5407,0.6667
sympy__sympy-24102,3,0,False,29.6667,17.0,0.2405,8.0,0.55,0.6667
sympy__sympy-24152,3,2,False,21.0,30.0,0.6734,17.0,0.4667,0.7
sympy__sympy-24213,3,2,False,14.6667,2.0,0.0643,4.0,0.2821,0.3846
sympy__sympy-24909,3,0,False,31.6667,42.0,0.6109,20.0,0.6467,0.8
